 materialID,boardID,quantityUsed,,,,,,,,,
500050,600002,22.9,,,"(500050, 600002, 22.9), ",,,,"(500050, ","600002, ","22.9), "
500050,600013,22.7,,,"(500050, 600013, 22.7), ","600001, ","1),",,"(500050, ","600013, ","22.7), "
500050,600017,23.5,,,"(500050, 600017, 23.5), ","600001, ","1),",,"(500050, ","600017, ","23.5), "
500050,600018,22.6,,,"(500050, 600018, 22.6), ","600001, ","1),",,"(500050, ","600018, ","22.6), "
500050,600023,23.5,,,"(500050, 600023, 23.5), ","600001, ","1),",,"(500050, ","600023, ","23.5), "
500050,600024,24.3,,,"(500050, 600024, 24.3), ","600001, ","1),",,"(500050, ","600024, ","24.3), "
500050,600029,22.6,,,"(500050, 600029, 22.6), ","600001, ","1),",,"(500050, ","600029, ","22.6), "
500050,600031,24,,,"(500050, 600031, 24), ","600001, ","1),",,"(500050, ","600031, ","24), "
500050,600033,22.5,,,"(500050, 600033, 22.5), ","600001, ","1),",,"(500050, ","600033, ","22.5), "
500050,600034,23.5,,,"(500050, 600034, 23.5), ","600001, ","1),",,"(500050, ","600034, ","23.5), "
500050,600036,24,,,"(500050, 600036, 24), ","600001, ","1),",,"(500050, ","600036, ","24), "
500050,600039,24.2,,,"(500050, 600039, 24.2), ","600001, ","1),",,"(500050, ","600039, ","24.2), "
500050,600040,22.6,,,"(500050, 600040, 22.6), ","600001, ","1),",,"(500050, ","600040, ","22.6), "
500050,600041,22.5,,,"(500050, 600041, 22.5), ","600001, ","1),",,"(500050, ","600041, ","22.5), "
500050,600043,24.2,,,"(500050, 600043, 24.2), ","600001, ","1),",,"(500050, ","600043, ","24.2), "
500050,600044,24.2,,,"(500050, 600044, 24.2), ","600001, ","1),",,"(500050, ","600044, ","24.2), "
500050,600045,22.6,,,"(500050, 600045, 22.6), ","600001, ","1),",,"(500050, ","600045, ","22.6), "
500050,600046,24.4,,,"(500050, 600046, 24.4), ","600001, ","1),",,"(500050, ","600046, ","24.4), "
500050,600048,23.1,,,"(500050, 600048, 23.1), ","600001, ","1),",,"(500050, ","600048, ","23.1), "
500050,600050,23.8,,,"(500050, 600050, 23.8), ","600001, ","1),",,"(500050, ","600050, ","23.8), "
500050,600052,22.6,,,"(500050, 600052, 22.6), ","600001, ","1),",,"(500050, ","600052, ","22.6), "
500050,600053,23.2,,,"(500050, 600053, 23.2), ","600001, ","1),",,"(500050, ","600053, ","23.2), "
500050,600058,23.1,,,"(500050, 600058, 23.1), ","600001, ","1),",,"(500050, ","600058, ","23.1), "
500050,600067,24,,,"(500050, 600067, 24), ","600001, ","1),",,"(500050, ","600067, ","24), "
